kvě 10, 2021 12:11:09 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [e5]
kvě 10, 2021 12:11:09 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [a5]
kvě 10, 2021 12:11:09 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [b6, b5]
kvě 10, 2021 12:11:09 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [c6, c5]
kvě 10, 2021 12:11:09 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [d6, d5]
kvě 10, 2021 12:11:09 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [e6, e5]
kvě 10, 2021 12:11:09 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [f6, f5]
kvě 10, 2021 12:11:09 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [g6, g5]
kvě 10, 2021 12:11:09 ODP. cz.chess.engine.model.pieces.Pawn getLegalMoves
SEVERE: [h6, h5]
kvě 11, 2021 12:15:56 ODP. cz.chess.engine.view_controller.ChessBoard$TilePanel tileLeftClickCustom
WARNING: Custom piece not selected but tried to add
kvě 11, 2021 12:15:59 ODP. cz.chess.engine.view_controller.ChessBoard$TilePanel tileLeftClickCustom
WARNING: Custom piece not selected but tried to add
kvě 11, 2021 1:21:47 ODP. cz.chess.engine.view_controller.ChessBoard$TilePanel tileLeftClickCustom
WARNING: Custom piece not selected but tried to add
kvě 11, 2021 1:22:02 ODP. cz.chess.engine.model.board.Board$Builder getKingPosition
WARNING: WHITE KingPosition not found
kvě 11, 2021 1:28:37 ODP. cz.chess.engine.model.board.Board$Builder getKingPosition
WARNING: BLACK KingPosition not found
kvě 11, 2021 1:38:33 ODP. cz.chess.engine.model.board.Board$Builder getKingPosition
WARNING: WHITE KingPosition not found
kvě 11, 2021 1:40:11 ODP. cz.chess.engine.model.board.Board$Builder getKingPosition
WARNING: WHITE KingPosition not found
kvě 11, 2021 1:40:14 ODP. cz.chess.engine.model.board.Board$Builder getKingPosition
WARNING: BLACK KingPosition not found
kvě 11, 2021 7:47:51 ODP. cz.chess.engine.model.board.Board$Builder getKingPosition
WARNING: WHITE KingPosition not found
kvě 12, 2021 3:18:41 ODP. cz.chess.engine.model.MyTimer playTheTime
SEVERE: Thread.sleep() failed
java.lang.InterruptedException: sleep interrupted
	at java.base/java.lang.Thread.sleep(Native Method)
	at cz.chess.engine.view/cz.chess.engine.model.MyTimer.playTheTime(MyTimer.java:32)
	at cz.chess.engine.view/cz.chess.engine.model.MyTimer.run(MyTimer.java:25)

kvě 12, 2021 3:18:51 ODP. cz.chess.engine.model.MyTimer playTheTime
